Potato Chip Rock via Mt. Woodson Trail,{'lat': 33.0092674, 'lng': -116.9742491}
Eaton Canyon Trail,{'lat': 34.17697800000001, 'lng': -118.0970654}
Vernal and Nevada Falls via the Mist Trail,{'lat': 37.7265348, 'lng': -119.5395383}
Bridge to Nowhere via East Fork Trail,{'lat': 34.2372766, 'lng': -117.8124993}
Iron Mountain Trail,{'lat': 32.9774561, 'lng': -116.9624877}
Mission Peak Loop from Stanford Avenue Staging Area,{'lat': 37.5053082, 'lng': -121.8768889}
Black Star Canyon Trail,{'lat': 33.7881185, 'lng': -117.6607464}
Cowles Mountain Trail,{'lat': 32.8078562, 'lng': -117.0332252}
Alamere Falls via Coast Trail from Palomarin Trailhead,{'lat': 37.95373439999999, 'lng': -122.7834064}
Hidden Falls Trail,{'lat': 38.9589121, 'lng': -121.1641735}
Sturtevant Falls Trail,{'lat': 34.2116066, 'lng': -118.019774}
Mount San Antonio & Mount Baldy Notch Trail,{'lat': 34.2888927, 'lng': -117.6467218}
Runyon Canyon Trail,{'lat': 34.1106805, 'lng': -118.3503784}
Half Dome Trail,{'lat': 37.7495807, 'lng': -119.5242119}
Upper and Lower Winter Creek Trail Loop,{'lat': 34.170839, 'lng': -118.0225668}
Dipsea Trail to Steep Ravine Trail to Matt Davis Loop Trail,{'lat': 37.8890472, 'lng': -122.6107881}
Upper Yosemite Falls Trail,{'lat': 37.7717631, 'lng': -119.5812189}
Three Sisters Waterfalls Trail,{'lat': 32.9810201, 'lng': -116.6839993}
Temescal Canyon Trail,{'lat': 34.0595374, 'lng': -118.5301197}
Etiwanda Falls Trail,{'lat': 34.1859197, 'lng': -117.5232196}
Dawn Mine and Sunset Trail Loop,{'lat': 34.2265528, 'lng': -118.1297606}
Torrey Pines Beach Trail Loop,{'lat': 32.9361564, 'lng': -117.2614258}
Echo Mountain via Sam Merrill Trail,{'lat': 34.2191626, 'lng': -118.1199118}
Solstice Canyon Loop Trail,{'lat': 34.038993, 'lng': -118.755154}
Lands End Trail,{'lat': 37.1466602, 'lng': -79.64976419999999}
Berry Creek Falls Trail,{'lat': 37.1741716, 'lng': -122.2672972}
Mishe Mokwa Trail to Sandstone Peak,null,
Saratoga Gap Trail and Ridge Trail Loop,{'lat': 37.2346817, 'lng': -122.1196648}
Paradise Falls Trail,{'lat': 34.214406, 'lng': -118.910517}
Mount Tallac Trail,{'lat': 38.9043571, 'lng': -120.0782091}
Cedar Creek Falls Trail,{'lat': 32.9933844, 'lng': -116.7442667}
Claremont Hills Wilderness Trail,{'lat': 34.1420712, 'lng': -117.7074695}
Icehouse Canyon to Cucamonga Peak Trail,{'lat': 34.222486, 'lng': -117.5852269}
Lake Hodges Overlook Trail,{'lat': 33.0604782, 'lng': -117.1161803}
Los Penasquitos Canyon Trail,{'lat': 32.9310243, 'lng': -117.1668971}
Santa Margarita River Trail,{'lat': 33.4133099, 'lng': -117.2412379}
Clementine Trail to Clarks Pool,{'lat': 38.916265, 'lng': -121.0353847}
Escondido Falls Trail,{'lat': 34.0431803, 'lng': -118.7794824}
Eagle Lake Trail,{'lat': 38.9488295, 'lng': -120.1165992}
Switzer Falls via Gabrielino Trail,{'lat': 34.256491, 'lng': -118.1527535}
El Moro Canyon Loop Trail,{'lat': 33.5748298, 'lng': -117.8078961}
Mount Rubidoux Trail,{'lat': 33.9884257, 'lng': -117.3908725}
Horsetail Falls Trail,{'lat': 38.8304633, 'lng': -120.123242}
Mount Whitney via Mount Whitney Trail,{'lat': 36.5712555, 'lng': -118.2616315}
French Trail and Stream Trail Loop via Skyline Blvd,{'lat': 37.8020533, 'lng': -122.1444402}
Mount Wilson Trail,{'lat': 34.2264226, 'lng': -118.0642319}
Cataract Falls Trail,{'lat': 37.9318433, 'lng': -122.6353883}
San Jacinto Peak from The Tramway,{'lat': 33.8370537, 'lng': -116.6141062}
Fortuna Mountain Trail,{'lat': 32.8349726, 'lng': -117.0556493}
Hollyridge Trail to Hollywood Sign Viewpoint,{'lat': 34.1341151, 'lng': -118.3215482}
El Cajon Mountain Trail,{'lat': 32.913941, 'lng': -116.8527612}
Stevens Trail,{'lat': 39.1047375, 'lng': -120.9428399}
Moro Rock Trail,{'lat': 36.5468705, 'lng': -118.7655927}
Ice House Canyon Trail,{'lat': 34.2476877, 'lng': -117.6149029}
